200
6 10
3 4 213
3 1 828
1 0 1336
5 4 263
2 4 638
5 1 -100
2 3 282
0 1 443
0 0 1135
0 4 736
6 10
5 1 1345
4 5 -278
0 2 -126
5 4 67
0 0 1143
1 5 592
0 5 803
1 1 -9
1 2 -363
2 4 1171
6 10
1 2 1208
0 5 1171
3 1 1447
4 2 763
3 5 125
3 0 1095
5 2 1080
0 4 916
1 0 1233
5 1 -329
6 10
5 0 615
2 4 914
0 4 1157
1 4 -251
0 0 82
1 0 -361
3 3 -307
1 1 -460
3 4 -353
5 2 -328
6 10
1 0 427
2 1 1116
3 3 825
0 0 816
0 4 347
4 3 62
4 5 1031
3 2 527
4 1 382
3 0 965
6 10
2 4 -313
0 4 39
4 5 -340
0 0 634
0 3 -155
1 0 525
4 3 1323
1 1 -244
2 3 1093
3 4 -175
6 10
3 1 479
4 5 285
5 3 1002
0 5 1175
5 1 307
0 1 1452
3 5 634
4 0 -24
0 4 203
2 1 52
6 10
0 4 866
2 5 917
5 0 270
0 1 578
4 3 -497
0 5 -433
5 4 -250
2 4 426
1 1 -111
4 5 -260
6 10
5 2 641
5 5 -18
0 3 268
2 5 1133
3 3 809
5 3 -430
1 3 -234
0 4 -436
3 1 259
4 3 1157
6 10
4 4 381
3 4 1104
3 2 -238
0 4 -277
4 1 959
4 2 -301
5 3 1235
3 1 -221
0 3 93
2 5 293
6 10
0 1 -455
1 4 590
0 4 65
4 0 980
5 0 292
1 5 702
0 0 -11
1 0 826
5 1 293
3 5 -353
6 10
5 5 64
2 3 -383
5 4 58
0 4 -386
5 1 456
1 0 835
2 1 204
2 4 486
4 5 -303
4 0 860
6 10
1 1 -53
4 5 97
5 2 690
5 3 -498
0 1 505
0 4 1340
0 0 286
1 3 -162
1 2 1386
3 4 1398
6 10
2 4 1268
4 0 1076
1 4 1232
0 5 111
2 2 -4
4 1 445
3 3 -9
5 4 322
2 5 1195
1 1 955
6 10
0 0 112
3 3 21
4 4 218
2 5 473
2 2 224
0 5 4
5 5 231
4 3 -85
2 1 464
3 5 -284
6 10
5 2 120
5 4 1023
1 4 -453
0 5 1492
1 3 1179
3 1 41
0 0 827
5 3 339
0 1 917
4 1 1115
6 10
5 1 1370
1 4 -4
3 3 564
4 4 1356
4 2 -79
0 4 1111
0 0 302
4 3 -454
0 5 484
5 2 135
6 10
2 5 635
3 1 1251
5 5 639
3 3 -97
5 2 47
3 5 -250
0 1 1112
5 3 1334
5 4 -61
0 4 450
6 10
4 3 915
0 3 -207
4 2 800
5 1 187
0 0 1499
2 4 -196
4 1 1182
3 4 743
1 4 172
0 2 728
6 10
4 0 406
0 4 396
4 4 -266
2 4 753
2 2 1408
3 3 868
5 4 946
3 5 689
0 5 1034
1 4 372
6 10
3 3 -46
3 2 489
0 3 1126
3 4 105
4 5 1266
1 4 1454
5 0 -283
4 3 353
5 2 634
0 0 -477
6 10
5 4 1373
2 1 1092
4 0 993
5 3 477
1 5 -209
3 1 187
1 3 624
0 5 -293
1 4 233
2 5 484
6 10
2 4 1499
0 1 608
1 5 638
5 0 1099
5 1 569
4 4 1300
0 4 1283
5 5 1225
5 3 1022
2 2 1338
6 10
2 0 371
4 0 1217
1 5 79
0 0 -40
4 4 -10
2 3 184
3 0 228
4 5 437
3 3 347
0 4 29
6 10
4 4 1329
2 0 -372
3 4 428
2 1 114
5 3 -410
5 1 793
1 5 470
5 2 168
2 4 -114
1 1 -262
6 10
0 3 1345
0 1 678
3 2 -348
0 4 4
1 5 -105
1 1 -319
1 0 437
4 1 1097
3 1 8
5 5 -110
6 10
2 3 965
4 3 1071
0 3 1454
1 4 138
5 3 -82
1 2 1046
5 0 903
1 3 1115
2 4 1331
4 4 1435
6 10
3 3 773
0 0 432
2 5 412
5 3 1168
5 4 109
4 3 1426
4 4 -239
2 2 430
2 1 1459
1 4 -153
6 10
0 4 -258
1 0 -77
5 4 58
4 3 1263
3 4 -447
4 5 1489
0 1 583
2 4 788
3 2 990
3 0 -467
6 10
5 2 -226
3 3 883
0 1 1272
4 4 101
5 4 -411
0 5 -426
2 5 305
5 0 902
0 0 -494
0 4 -499
6 10
0 2 -495
3 0 -299
1 2 82
2 5 206
1 3 515
5 1 1018
5 0 1171
3 4 890
0 0 636
1 1 856
6 10
5 4 679
4 0 720
0 0 -127
4 5 1403
0 1 557
2 1 -204
2 4 1315
1 1 330
0 4 1359
4 2 186
6 10
4 5 588
1 4 945
5 4 1471
2 4 1340
5 5 299
5 3 -339
3 4 -108
4 2 -62
3 0 852
0 0 807
6 10
0 5 1239
1 3 130
4 5 -367
3 3 378
4 4 67
4 2 545
5 2 599
4 3 1192
3 1 90
5 0 909
6 10
0 5 -400
1 5 127
4 5 957
5 2 663
3 5 1346
5 5 470
4 4 1171
1 3 478
3 2 770
3 0 -408
6 10
2 2 144
1 0 677
3 5 1161
0 1 73
4 4 1398
2 1 1423
3 0 411
1 3 613
1 5 575
0 5 1215
6 10
4 4 697
2 1 -141
0 2 151
1 5 -149
3 0 1302
3 5 891
3 4 1060
2 2 1429
1 3 1188
5 2 90
6 10
1 1 -386
5 0 -460
4 1 1479
5 2 1169
2 3 1035
0 5 356
2 4 -189
2 1 454
1 2 826
0 0 -97
6 10
0 1 417
5 2 1427
0 5 83
0 0 1416
4 2 365
4 4 1069
3 4 -394
3 1 1361
2 2 477
2 1 248
6 10
0 3 428
4 1 229
3 5 -450
1 2 820
2 3 -103
0 0 -438
1 0 1469
2 5 -110
3 1 514
3 4 392
6 10
0 0 -468
4 5 1395
5 4 127
0 2 155
5 3 592
1 2 1467
0 3 533
0 1 275
2 4 1024
4 3 244
6 10
3 4 1053
1 4 1461
3 2 1292
5 5 584
3 5 -371
5 4 812
4 0 497
5 1 178
4 3 522
1 2 -362
6 10
4 3 282
0 4 -209
5 2 -295
1 4 -184
0 5 1393
0 1 507
1 0 78
2 3 834
5 3 810
0 0 403
6 10
1 3 866
4 3 466
1 1 128
3 0 620
5 5 1070
0 3 662
0 2 629
3 1 260
2 4 -174
3 2 1376
6 10
3 5 1498
3 4 1483
1 2 807
5 2 117
1 3 -27
1 0 83
5 5 -315
2 0 -451
2 2 643
3 2 495
6 10
1 2 -270
4 4 -86
4 5 1130
2 4 -338
3 0 362
5 2 891
4 0 -84
5 5 -448
5 3 344
1 5 468
6 10
2 4 -128
0 0 1055
2 2 504
1 3 1371
5 5 298
5 0 71
2 1 879
4 1 607
3 5 323
1 2 987
6 10
2 0 80
5 4 1359
0 5 412
0 3 371
5 2 833
1 4 -432
4 3 1270
2 2 783
4 2 178
2 3 1287
6 10
4 1 1315
0 1 -12
1 4 744
0 5 639
4 4 103
3 3 583
1 2 780
4 2 450
1 5 994
0 0 399
6 10
1 1 1234
2 4 -468
1 3 -108
2 1 1438
0 3 1405
3 5 403
1 2 1347
3 3 1093
2 0 -290
5 0 939
6 10
0 2 55
0 3 331
1 5 359
0 5 1220
2 0 708
4 0 -172
1 1 -126
3 5 395
1 3 887
3 1 992
6 10
1 2 1035
4 1 -233
1 1 14
4 0 -463
1 0 1141
3 1 -140
4 5 -322
5 1 630
0 1 -137
3 0 -299
6 10
3 2 -185
2 2 209
2 1 373
1 3 -226
0 1 -65
0 3 4
3 0 621
1 0 966
2 5 1189
0 5 742
6 10
2 0 -241
5 3 -57
1 2 1036
1 0 477
2 5 1378
3 0 -137
4 0 572
5 5 -266
2 2 290
4 2 1268
6 10
0 2 1039
2 5 1189
4 1 148
4 0 272
2 2 415
3 0 149
2 4 67
5 4 774
2 0 171
1 3 -393
6 10
5 3 482
0 5 -445
2 3 -262
3 4 1005
2 5 212
5 4 -241
0 0 861
4 2 -261
4 1 346
2 2 -187
6 10
5 3 915
2 5 96
1 1 1227
0 0 1029
0 1 75
2 0 117
1 3 686
4 4 638
2 1 1447
5 2 -169
6 10
3 2 478
4 4 45
0 4 579
0 2 -290
0 0 150
4 3 1301
4 1 1073
1 4 -431
3 0 738
3 5 444
6 10
5 2 335
0 5 1020
1 0 855
3 2 321
0 2 649
4 5 -295
0 1 968
4 4 215
4 0 135
2 2 -185
6 10
2 2 646
4 4 1380
5 5 11
0 1 1277
4 3 552
4 1 359
3 4 -3
1 5 763
0 0 -208
3 2 284
6 10
4 5 24
5 2 696
3 5 1139
5 3 1399
4 3 1226
1 0 -22
0 3 157
0 4 1133
2 5 951
5 0 -210
6 10
2 0 -29
2 5 1380
1 4 -69
2 1 1136
1 1 289
5 4 995
4 1 157
2 2 346
3 4 1299
4 3 888
6 10
4 4 331
0 1 105
2 1 572
0 2 1185
0 4 -8
5 3 -391
1 2 1046
1 3 669
5 5 629
5 4 530
6 10
5 0 793
4 2 1007
0 1 314
4 1 7
4 5 1023
2 0 1443
0 5 -361
1 1 -293
0 3 179
3 2 899
6 10
2 1 698
2 4 759
3 4 1320
0 5 496
3 1 26
1 2 417
1 4 814
5 2 -39
4 5 -253
2 0 1253
6 10
4 1 136
2 4 -133
1 2 1325
3 3 -385
3 4 25
0 4 -294
2 3 -382
1 1 1222
0 1 -383
1 5 753
6 10
4 5 1026
2 4 534
5 1 507
2 5 101
0 5 595
1 1 474
3 1 920
3 5 956
3 0 1247
5 4 730
6 10
5 0 -23
3 3 1105
3 2 559
2 5 818
2 4 961
0 0 1466
0 4 471
0 5 1313
3 1 654
2 2 730
6 10
1 2 32
3 5 249
4 2 509
4 0 1190
1 4 245
1 3 314
1 0 558
2 5 -486
0 5 1355
3 2 1081
6 10
0 2 953
5 4 1276
2 4 485
0 4 552
4 5 -69
0 5 408
3 5 186
5 1 369
1 2 -191
1 5 1456
6 10
3 3 -149
1 3 732
1 1 1439
2 5 965
3 1 -356
0 5 1429
4 4 439
0 0 -155
4 3 798
1 5 749
6 10
3 0 659
3 4 533
2 5 1312
2 4 -421
2 0 1101
0 5 905
0 4 1375
4 5 833
2 2 810
5 5 69
6 10
4 1 -306
5 5 940
5 1 -287
4 3 1447
2 3 936
2 0 -366
3 0 426
0 3 823
5 3 -443
2 1 190
6 10
1 3 945
2 2 -354
3 3 305
0 3 -188
4 2 814
1 2 -435
4 1 493
4 3 -280
5 0 1093
5 5 -427
6 10
0 4 -390
5 0 0
2 2 942
3 2 1441
2 5 818
3 3 564
0 0 1333
0 1 241
4 4 32
4 1 1139
6 10
5 3 -267
3 3 548
1 1 1283
1 4 422
3 5 836
3 4 413
0 1 1099
2 1 102
1 3 160
4 3 307
6 10
5 5 857
1 0 1480
0 5 162
1 1 1350
1 3 -198
4 0 1055
0 0 928
2 0 -69
2 1 -254
5 3 1188
6 10
2 1 1499
0 3 -155
4 1 748
5 4 -161
5 5 538
2 2 1114
3 0 1306
3 5 -67
5 3 847
1 3 1402
6 10
0 3 150
2 3 475
5 3 881
4 4 289
2 5 303
4 0 -157
1 3 -149
3 3 -132
4 3 1129
3 2 -251
6 10
0 3 1106
4 0 789
3 0 1126
3 3 1067
2 4 -91
5 5 659
2 5 787
2 2 -174
0 1 1239
5 1 -124
6 10
3 3 1286
2 4 719
3 2 1417
2 0 -264
0 1 22
1 2 688
1 4 1479
2 3 50
5 3 855
5 4 1037
6 10
2 3 -355
3 4 103
4 0 1379
0 5 1244
5 3 1052
4 2 20
1 1 -65
0 0 729
1 0 1255
0 3 -336
6 10
3 4 50
0 2 1483
4 1 238
1 2 -125
4 5 -473
1 4 1447
5 3 -496
5 4 -317
0 5 908
0 3 250
6 10
5 3 -308
1 1 -488
3 1 196
4 3 -459
4 1 -295
5 1 812
4 0 1073
1 5 874
5 2 -104
3 5 176
6 10
0 5 251
2 1 -258
3 3 1371
4 1 564
3 2 981
5 0 -78
3 5 -457
3 4 1217
1 5 661
2 3 936
6 10
5 2 1191
5 3 863
4 5 1243
3 5 735
5 0 -498
5 5 68
4 1 628
0 4 1151
5 1 451
0 5 -170
6 10
0 2 740
5 3 1185
2 0 -128
4 1 1387
0 4 870
3 0 553
5 0 620
5 2 -296
2 2 -479
5 4 914
6 10
4 0 194
2 2 491
0 3 1097
5 5 1061
5 2 620
3 0 -333
0 0 -390
0 1 121
1 4 693
3 4 862
6 10
1 4 765
4 2 1331
3 4 103
2 1 498
1 5 968
0 2 953
3 5 -346
0 5 737
2 0 604
4 1 79
6 10
0 3 -222
1 5 8
1 0 1313
3 0 637
0 5 546
4 2 106
4 4 343
1 1 -170
2 3 463
1 4 585
6 10
5 0 536
2 5 -263
3 3 997
2 4 1197
1 4 -190
4 1 551
5 1 1457
0 2 585
5 4 -53
1 5 1441
6 10
2 5 -136
5 4 360
4 4 768
2 1 -311
3 5 472
4 3 -143
2 4 1408
5 2 1350
0 5 345
2 0 1402
6 10
4 0 130
1 5 -409
3 4 -52
1 0 75
1 2 945
4 3 -185
3 1 1275
3 2 -29
3 3 1018
2 1 330
6 10
2 5 -174
4 0 1012
3 5 1021
2 1 752
2 4 1014
5 1 813
5 2 439
0 5 584
0 2 901
1 2 -329
6 10
1 0 916
0 1 40
0 0 -166
1 3 -114
0 4 300
3 5 -473
5 3 -456
3 4 1078
4 5 1446
4 2 762
6 10
5 5 1259
4 4 -56
1 4 1172
3 4 789
0 4 168
2 3 808
4 5 -392
3 2 68
4 3 397
0 0 763
6 10
5 0 75
1 0 1252
4 2 -307
5 4 1103
4 3 440
2 2 -292
0 3 -451
5 3 918
2 0 522
1 5 -94
6 10
1 2 1442
3 5 -331
0 3 1319
5 3 1246
3 2 -66
5 1 775
0 2 1491
1 5 111
2 2 1100
1 0 1103
6 10
3 2 1411
0 2 774
2 5 -214
5 1 1208
1 5 -278
3 1 -334
2 0 -12
4 0 1120
4 3 521
2 2 171
6 10
2 0 743
1 1 -28
0 0 194
5 4 879
5 1 -169
2 4 493
1 3 -438
2 3 856
4 4 1012
4 1 -352
6 10
4 3 1146
2 5 1226
0 5 1381
4 2 1473
5 3 1102
2 0 -465
3 3 523
1 0 1027
5 0 777
2 4 -500
6 10
2 1 570
1 2 904
2 4 1134
5 5 822
4 1 -319
5 0 13
0 1 648
3 5 866
4 3 909
1 4 -265
6 10
1 1 20
0 0 -392
3 0 424
0 4 874
3 1 -496
2 3 457
5 0 253
0 2 -296
0 3 1377
1 5 777
6 10
2 2 1073
0 1 -359
1 1 129
5 2 1232
2 4 1393
0 0 1413
1 3 -211
5 1 763
4 2 150
4 5 -143
6 10
2 4 808
0 3 -441
1 1 979
5 3 1147
2 5 -177
4 5 -259
0 2 -175
5 0 184
4 0 752
5 1 1386
6 10
0 3 -413
0 4 88
0 5 -465
5 4 865
0 0 824
1 2 773
4 1 559
1 3 721
4 5 954
5 2 737
6 10
1 2 -320
3 1 153
0 5 223
3 0 1335
0 1 1122
4 3 617
5 5 639
3 2 847
5 3 852
4 5 -436
6 10
5 1 690
1 0 1132
3 0 458
0 2 104
2 5 1343
1 1 -241
0 0 654
5 4 912
4 3 401
1 2 1277
6 10
5 5 1367
1 4 274
0 0 1176
1 0 823
5 1 731
3 4 1317
4 0 -35
3 5 714
1 3 396
4 3 -263
6 10
3 0 -91
5 2 81
1 2 768
0 1 394
0 0 1300
5 0 1383
1 3 -434
2 5 83
0 2 -85
2 2 1469
6 10
1 2 -484
5 5 660
5 2 182
1 3 72
2 0 488
0 0 226
3 0 500
5 1 1024
4 3 992
0 2 1014
6 10
0 4 1166
5 5 103
5 2 260
3 1 1303
4 5 432
4 2 -434
1 0 364
4 0 -64
5 4 -64
4 4 -449
6 10
4 4 371
4 1 -326
3 3 326
5 4 -339
5 3 195
0 4 1180
2 2 52
3 2 1053
3 5 1134
3 1 1419
6 10
5 3 299
5 1 -259
5 2 278
0 5 886
1 0 130
5 0 1276
4 0 468
4 2 1031
3 5 222
2 3 882
6 10
1 3 821
0 3 1252
1 0 1182
5 0 -416
3 1 524
0 1 862
3 0 -111
4 5 -235
0 0 1389
2 3 904
6 10
4 5 1488
1 1 766
2 1 116
0 2 1302
2 3 222
2 4 74
4 4 -151
0 3 42
0 0 1461
1 3 -8
6 10
2 2 881
1 3 543
5 4 -252
5 2 1123
3 1 1308
0 1 1413
2 5 493
4 1 1393
1 0 446
3 3 1071
6 10
0 3 394
3 1 1072
3 0 853
2 1 718
5 3 1232
4 1 -357
2 4 863
1 2 828
2 2 1494
0 4 -282
6 10
1 3 -8
2 1 -386
1 0 1181
3 4 1062
5 1 378
5 0 573
4 5 254
1 4 745
3 1 -275
5 2 935
6 10
3 4 1361
3 0 785
3 2 904
5 2 1445
3 1 353
1 0 -295
5 0 806
1 1 1308
0 3 -319
4 5 468
6 10
0 1 800
2 0 958
5 1 1225
3 4 789
3 5 -252
0 5 1326
2 5 811
5 2 181
1 4 245
5 5 1389
6 10
3 1 405
1 1 378
5 0 -156
2 4 812
3 0 961
2 3 980
0 0 506
3 4 1213
4 1 -389
4 3 769
6 10
1 4 155
5 4 992
1 5 1161
0 2 777
3 2 -215
4 5 -25
0 3 -22
3 5 -18
4 4 -194
4 3 -375
6 10
3 4 -154
2 3 1335
4 1 472
5 4 1107
0 1 105
5 2 927
5 3 913
2 4 -377
0 2 366
4 5 1260
6 10
1 2 19
3 1 -392
5 2 -54
5 3 993
4 0 1358
4 2 -325
0 0 1450
2 0 -69
1 3 1060
2 2 -352
6 10
4 1 138
1 3 12
0 5 -78
5 3 779
1 0 -9
2 2 1238
0 0 603
1 4 418
3 4 52
4 0 698
6 10
4 5 1096
2 0 1219
1 0 683
3 5 644
2 5 975
2 4 689
0 4 -431
2 2 249
5 5 -315
1 4 187
6 10
0 3 1016
5 3 123
4 2 85
1 0 1280
1 2 1104
5 2 650
2 1 686
3 4 -203
1 5 428
5 5 -412
6 10
3 5 817
5 0 1091
5 2 664
0 1 -211
4 1 634
3 4 948
4 5 1117
1 5 -114
4 3 1431
2 3 312
6 10
4 3 784
1 3 -128
5 1 149
5 5 -341
3 4 243
0 1 32
0 0 823
5 4 1243
5 0 726
1 2 -160
6 10
0 4 410
1 5 676
0 1 672
4 2 744
4 4 -145
5 3 597
2 3 -270
2 5 961
3 5 1008
1 0 769
6 10
3 4 430
0 3 6
3 1 167
4 4 1406
4 3 466
4 5 1367
2 1 57
3 5 1182
0 4 773
1 1 955
6 10
2 4 -55
5 4 510
1 5 976
4 5 483
3 0 13
0 2 193
2 2 125
2 5 1301
5 3 907
2 0 -42
6 10
5 5 510
2 3 1403
1 1 410
0 4 661
1 0 84
2 2 -470
3 5 926
2 0 982
4 1 1152
0 3 -120
6 10
0 0 952
1 4 901
2 2 433
2 5 602
3 4 -132
1 5 291
5 3 1333
5 5 191
1 1 374
1 2 387
6 10
0 5 -325
3 4 192
2 5 152
4 5 -66
2 4 -496
5 4 461
4 0 -30
3 1 381
2 0 -357
1 3 811
6 10
0 2 1202
3 3 1242
5 0 577
0 0 1217
0 1 839
3 4 510
0 3 294
5 5 -207
4 0 331
1 5 996
6 10
5 2 1402
4 2 1156
4 3 347
2 2 414
5 4 894
3 2 -466
0 1 2
2 0 919
5 3 -215
1 1 704
6 10
3 2 834
5 0 689
0 0 -222
4 5 1469
4 2 825
0 5 721
4 3 726
2 2 234
1 3 1291
3 1 747
6 10
0 5 426
2 0 240
0 2 1261
4 2 1377
2 3 1186
0 3 1326
4 1 182
5 0 658
3 2 -491
3 3 519
6 10
4 1 -14
1 0 -251
0 3 328
0 5 881
1 5 -222
4 4 476
3 3 1062
1 4 419
4 3 449
3 5 1155
6 10
3 2 461
5 0 89
0 3 627
2 4 137
1 3 -400
2 0 565
3 1 766
0 1 1314
4 0 -388
0 4 -450
6 10
3 1 -476
2 2 713
5 2 1276
0 0 -493
2 5 5
5 1 588
1 5 1040
0 4 750
0 5 1056
0 3 503
6 10
0 3 1025
0 4 1068
4 0 408
4 1 367
2 0 -350
3 5 -28
0 2 1482
2 2 1076
5 2 -434
3 1 66
6 10
4 3 -404
0 2 486
4 5 -103
5 2 220
0 4 569
4 0 -263
0 0 -6
3 1 577
5 4 593
3 2 -60
6 10
5 2 90
3 3 776
0 5 632
5 1 1443
2 3 -359
1 3 312
4 1 -80
1 1 73
0 3 -263
2 4 -499
6 10
2 3 1128
4 0 -37
5 2 873
1 3 1243
1 5 378
4 3 1489
4 4 1285
3 5 841
1 2 1066
1 1 -21
6 10
1 4 -58
3 0 379
2 4 756
4 4 -277
2 5 881
4 0 345
1 5 1018
2 1 309
5 3 440
0 5 -75
6 10
2 1 -115
5 3 406
0 5 264
5 1 353
4 4 308
5 0 100
2 3 1203
2 4 -404
3 0 906
1 4 1331
6 10
2 1 129
4 0 631
3 3 -44
3 1 345
3 2 -413
5 4 33
4 1 870
1 4 1172
5 3 930
0 0 1210
6 10
4 4 504
0 2 37
1 1 -465
0 5 554
0 0 464
1 5 -286
2 5 746
1 4 -454
3 4 493
2 3 -202
6 10
3 1 832
1 1 615
5 1 -136
0 2 1030
3 2 -12
2 4 -252
2 0 -381
5 5 -188
2 5 158
2 1 211
